iter	Logloss
211	0.2751467485
212	0.2750725935
213	0.2750136799
214	0.2747384487
215	0.2744829211
216	0.2744181771
217	0.2743317662
218	0.274286895
219	0.2741714897
220	0.274102696
221	0.2738604208
222	0.2737984803
223	0.273567002
224	0.2735041097
225	0.2734552685
226	0.2733602014
227	0.2731268556
228	0.2728882336
229	0.2728202568
230	0.2726049513
231	0.2723872427
232	0.2723127018
233	0.2722556845
234	0.2721765264
235	0.2721004744
236	0.2720463158
237	0.2719914479
238	0.2718959807
239	0.2718270977
240	0.2717807129
241	0.2717208493
242	0.2716399051
243	0.2715818498
244	0.2715049354
245	0.271419105
246	0.2713789645
247	0.2712675796
248	0.2712072415
249	0.2710171079
250	0.2707841149
251	0.2707219404
252	0.2706628907
253	0.2705974208
254	0.2705037675
255	0.2702891078
256	0.2701073675
257	0.2700493447
258	0.2699714371
259	0.2698055293
260	0.2697493429
261	0.2695915825
262	0.2695281129
263	0.2694763618
264	0.2693964768
265	0.2693488155
266	0.2692743922
267	0.2691998847
268	0.2691259283
269	0.2690700518
270	0.2689043307
271	0.2688354446
272	0.2687839164
273	0.2687092011
274	0.2685486789
275	0.2684905889
276	0.2683320657
277	0.2681746698
278	0.2680909337
279	0.2680439921
280	0.2678733854
281	0.2678049837
282	0.2677323428
283	0.2676792366
284	0.2676321653
285	0.2675582967
286	0.2674800812
287	0.2674347304
288	0.2672512582
289	0.2671834818
290	0.2671412291
291	0.2669955586
292	0.2668539428
293	0.2668175364
294	0.2667405178
295	0.266681931
296	0.26655576
297	0.2664817216
298	0.2663598712
299	0.2663134198
300	0.2662275938
301	0.2661564754
302	0.2660211393
303	0.2659500955
304	0.2657865773
305	0.2656624163
306	0.2656060854
307	0.2655447088
308	0.2654687949
309	0.2654254776
310	0.2652685372
311	0.2652177559
312	0.2651405238
313	0.2650520211
314	0.2649849686
315	0.2648831021
316	0.2647394424
317	0.2646837684
318	0.2646292701
319	0.2645118392
320	0.2643977368
321	0.2643401674
322	0.2642751407
323	0.2642163003
324	0.2641633231
325	0.2641182508
326	0.2640560521
327	0.263979483
328	0.263937722
329	0.2638935087
330	0.2638468865
331	0.2637959278
332	0.263733602
333	0.2636828825
334	0.2636188653
335	0.2635007809
336	0.2633902227
337	0.2633065507
338	0.2632528487
339	0.2631451184
340	0.2630773262
341	0.2630108681
342	0.2629483291
343	0.26290888
344	0.2628449989
345	0.2627549228
346	0.2626828638
347	0.2626466339
348	0.2625897476
349	0.2625328983
350	0.2624630341
351	0.2624045379
352	0.2623368976
353	0.2622747365
354	0.2622167993
355	0.2621554471
356	0.262054956
357	0.2619981255
358	0.2618957823
359	0.2618593481
360	0.2618000631
361	0.2617556533
362	0.2616895143
363	0.2616310896
364	0.2615686066
365	0.2615169502
366	0.2614201696
367	0.2613600778
368	0.261253246
369	0.2611379397
370	0.2610625811
371	0.2610030196
372	0.2609456862
373	0.2608963986
374	0.2608180932
375	0.2607258596
376	0.2606420925
377	0.260563443
378	0.2604992677
379	0.2604111041
380	0.2603566796
381	0.2602944179
382	0.2602287649
383	0.2601568662
384	0.2601171218
385	0.2600686946
386	0.2600251749
387	0.2599658334
388	0.25991774
389	0.2598642413
390	0.2598114626
391	0.2597255269
392	0.2596665129
393	0.2596043583
394	0.259537573
395	0.2594741249
396	0.2594291424
397	0.2593405462
398	0.2592783879
399	0.2592230224
400	0.2591775251
401	0.2591086007
402	0.2590549084
403	0.2589541997
404	0.2588844377
405	0.2588282826
406	0.2587816717
407	0.2586945558
408	0.2586083788
409	0.2585545341
410	0.2584995681
411	0.2584316884
412	0.2583538943
413	0.2583140473
414	0.2582341377
415	0.2581779715
416	0.2581383414
417	0.258068984
418	0.2580077268
419	0.2579110497
420	0.257820339
421	0.2577321823
422	0.2576938091
423	0.2576238336
424	0.257555236
425	0.2575059742
426	0.2574495935
427	0.2573915612
428	0.2573639137
429	0.2573079922
430	0.2572642391
431	0.2572140014
432	0.257165424
433	0.2571228079
434	0.2570555366
435	0.2570086488
436	0.2569352429
437	0.2568862032
438	0.2568117348
439	0.2567667068
440	0.256740588
441	0.2566918055
442	0.2566504103
443	0.2565879132
444	0.2565299808
445	0.2564932352
446	0.2564302602
447	0.2563794522
448	0.2563371575
449	0.2562641173
450	0.2561706009
451	0.2561415505
452	0.2560908368
453	0.2560411007
454	0.2559892201
455	0.2559393345
456	0.2558871169
457	0.2558370928
458	0.2557564608
459	0.2557074221
460	0.2556743152
461	0.2556346612
462	0.2556000946
463	0.2555375793
464	0.2555020882
465	0.2554476096
466	0.2554034107
467	0.2553637681
468	0.2553184171
469	0.2552739704
470	0.255222435
471	0.2551706287
472	0.2551181666
473	0.2550893308
474	0.2550589673
475	0.2550033154
476	0.2549277138
477	0.2548760531
478	0.2548191165
479	0.2547369811
480	0.2546920119
481	0.2546560631
482	0.2546236831
483	0.2545812058
484	0.254521703
485	0.2544683535
486	0.2543933367
487	0.2543508237
488	0.2543090487
489	0.2542471939
490	0.2541602801
491	0.2541131327
492	0.2540521723
493	0.2539992959
494	0.2539651848
495	0.253909903
496	0.2538483582
497	0.253801968
498	0.253751825
499	0.2536902794
500	0.2536326457
501	0.2535792603
502	0.2535395342
503	0.2535041681
504	0.2534422201
505	0.2533853684
506	0.2533448865
507	0.2533040293
508	0.2532648082
509	0.2532240431
510	0.2531668095
511	0.2530855465
512	0.2530465307
513	0.2530089629
514	0.2529622642
515	0.2529214846
516	0.2528826977
517	0.2528448432
518	0.2527891935
519	0.2527527701
520	0.2527127892
521	0.2526702061
522	0.2526266322
523	0.2525641032
524	0.252527228
525	0.252492031
526	0.2524348498
527	0.2523528411
528	0.2523196917
529	0.2522653937
530	0.2521958451
531	0.2521186332
532	0.2520546745
533	0.2519994032
534	0.2519485298
535	0.2518905594
536	0.2518456746
537	0.2518164802
538	0.2517698396
539	0.2517174889
540	0.2516426079
541	0.2515804176
542	0.2515058211
543	0.2514551071
544	0.2514116313
545	0.2513784994
546	0.2513303448
547	0.2512747842
548	0.2512385393
549	0.2511792889
550	0.2511227727
551	0.2510815648
552	0.2510242675
553	0.2509592037
554	0.2509223107
555	0.250875742
556	0.2508190676
557	0.2507736662
558	0.2507360017
559	0.2506991461
560	0.2506568849
561	0.2506091799
562	0.2505500792
563	0.250487253
564	0.2504462974
565	0.250399741
566	0.2503752132
567	0.250326411
568	0.2502871937
569	0.2502444819
570	0.250209583
571	0.2501580365
572	0.2501355323
573	0.2500952944
574	0.2500581662
575	0.2500161795
576	0.2499525353
577	0.2499175385
578	0.2498524765
579	0.2498311034
580	0.2497790595
581	0.2497277424
582	0.2496580724
583	0.2495953896
584	0.2495492698
585	0.2495040705
586	0.2494590922
587	0.2494146071
588	0.2493652131
589	0.2493182697
590	0.249285809
591	0.2492522977
592	0.2492052859
593	0.2491600853
594	0.2491278814
595	0.2490722067
596	0.2490301473
597	0.2489751226
598	0.248940363
599	0.2488976033
600	0.2488570741
601	0.2488247009
602	0.2487798141
603	0.2487345082
604	0.2486966666
605	0.2486647925
606	0.2486121521
607	0.2485581225
608	0.2485213648
609	0.2484397917
610	0.248411549
611	0.2483476653
612	0.2483141334
613	0.2482505116
614	0.2481836075
615	0.2481332272
616	0.2480686844
617	0.2480007891
618	0.247960281
619	0.2479047212
620	0.2478748322
621	0.2478284538
622	0.2477913245
623	0.2477546739
624	0.2477220803
625	0.2476806631
626	0.2476239925
627	0.2476002465
628	0.2475563068
629	0.2475249958
630	0.2475059835
631	0.2474645283
632	0.2474056508
633	0.2473640103
634	0.247317844
635	0.2472822553
636	0.2472208354
637	0.2471738049
638	0.2471347736
639	0.247103839
640	0.2470702017
641	0.2470375535
642	0.2469917711
643	0.2469564689
644	0.2469191709
645	0.2468758122
646	0.2468357712
647	0.2467950725
648	0.2467599911
649	0.2467120696
650	0.2466677185
651	0.2466440056
652	0.2465727931
653	0.246518284
654	0.2464584476
655	0.2464257325
656	0.246397753
657	0.2463443768
658	0.2463071052
659	0.2462737452
660	0.2462571875
661	0.246212576
662	0.2461692621
663	0.2461371376
664	0.2460962901
665	0.2460517795
666	0.2459867433
667	0.2459216702
668	0.2458646502
669	0.2458247349
670	0.2457755715
671	0.2457197867
672	0.2456613813
673	0.2455847892
674	0.2455505761
675	0.2455120377
676	0.2454814561
677	0.2454531456
678	0.2454116226
679	0.2453781537
680	0.2453268956
681	0.2452781349
682	0.2452276786
683	0.2451788518
684	0.2451365988
685	0.2450794792
686	0.2450175067
687	0.2449470172
688	0.2449211682
689	0.2448778032
690	0.244822662
691	0.244779765
692	0.2447488634
693	0.2446706432
694	0.2446348962
695	0.2446122692
696	0.2445575508
697	0.2445154232
698	0.2444856496
699	0.2444485628
700	0.2444042585
701	0.2443577265
702	0.2443130933
703	0.2442725131
704	0.2442214994
705	0.2441925797
706	0.2441678004
707	0.2441332987
708	0.2440950948
709	0.2440494604
710	0.2439956382
711	0.2439568864
712	0.2439106608
713	0.2438953426
714	0.243858964
715	0.2437997644
716	0.2437612152
717	0.243715158
718	0.2436711192
719	0.2436216755
720	0.2435881811
721	0.2435386511
722	0.2434773209
723	0.2434325605
724	0.243363753
725	0.243297532
726	0.2432348684
727	0.2431926288
728	0.2431693097
729	0.2431132214
730	0.2430780536
731	0.2430473269
732	0.2430216442
733	0.2429830431
734	0.2429535291
735	0.2429240743
736	0.242866311
737	0.2428330415
738	0.2427875973
739	0.2427543781
740	0.242723922
741	0.2426896179
742	0.2426485436
743	0.2426126578
744	0.2425756437
745	0.2425036716
746	0.2424744456
747	0.2424344606
748	0.2423879993
749	0.2423450549
750	0.2422914537
751	0.2422515405
752	0.2422111025
753	0.2421559594
754	0.2421298698
755	0.2420751759
756	0.2420289026
757	0.2419970438
758	0.2419528715
759	0.2419052998
760	0.2418625443
761	0.2418374582
762	0.2417946349
763	0.2417463508
764	0.2417011985
765	0.2416277795
766	0.24158503
767	0.2415411489
768	0.241492631
769	0.241464529
770	0.2414335992
771	0.2413856453
772	0.2413259522
773	0.2412805447
774	0.2412301862
775	0.2411931948
776	0.2411565355
777	0.2411049385
778	0.2410567764
779	0.2409824055
780	0.2409397495
781	0.2408901761
782	0.2408459038
783	0.2407888397
784	0.240740822
785	0.2407029888
786	0.2406552342
787	0.2406021562
788	0.240567619
789	0.2405226341
790	0.2404716891
791	0.2404290907
792	0.240395911
793	0.2403658289
794	0.2403384829
795	0.2402994694
796	0.240265756
797	0.2402350425
798	0.2402034852
799	0.2401705286
800	0.2401259432
801	0.2400581046
802	0.2400118137
803	0.2399897044
804	0.2399435672
805	0.2399191824
806	0.2398728476
807	0.2398258109
808	0.2397790109
809	0.2397333074
810	0.239677422
811	0.2396453676
812	0.2395943696
813	0.2395430741
814	0.2395035448
815	0.2394563261
816	0.2394044531
817	0.2393736974
818	0.2393046551
819	0.2392682441
820	0.2392348107
821	0.2391983657
822	0.2391526234
823	0.2390957182
824	0.2390629982
825	0.2390302291
826	0.2390106198
827	0.2389625818
828	0.2389240796
829	0.2388685443
830	0.2388298511
831	0.2387732901
832	0.2387261605
833	0.2386605758
834	0.2386277821
835	0.2385871083
836	0.2385477002
837	0.238516742
838	0.2384929979
839	0.2384693364
840	0.2384335463
841	0.2383928255
842	0.2383479697
843	0.2383045929
844	0.2382738554
845	0.2382442758
846	0.2381764104
847	0.23813955
848	0.2381079756
849	0.2380621866
850	0.2380173133
851	0.2379679796
852	0.2379325544
853	0.237883916
854	0.237857153
855	0.2378024108
856	0.2377543841
857	0.237706449
858	0.237658237
859	0.2376022002
860	0.2375729773
861	0.2375105747
862	0.237485497
863	0.2374476276
864	0.2374117784
865	0.2373705508
866	0.2373175734
867	0.2372637355
868	0.2372371507
869	0.2371962932
870	0.2371623841
871	0.2371297793
872	0.2370674794
873	0.237031742
874	0.2369738765
875	0.236939822
876	0.23688216
877	0.2368462428
878	0.2367992157
879	0.2367480207
880	0.2367114912
881	0.2366709073
882	0.2366278248
883	0.2365780976
884	0.236527631
885	0.2364688513
886	0.2364305545
887	0.236384155
888	0.2363395975
889	0.2362844206
890	0.2362413969
891	0.2362065203
892	0.2361390327
893	0.2361095369
894	0.236064957
895	0.2360304945
896	0.2359701928
897	0.2359345902
898	0.2358819573
899	0.2358467749
900	0.2358043836
901	0.235750866
902	0.235718909
903	0.2356719095
904	0.2356393478
905	0.2356067496
906	0.2355653752
907	0.2355298995
908	0.2354748314
909	0.2354396068
910	0.2354096341
911	0.2353610921
912	0.235327559
913	0.2352827056
914	0.2352270354
915	0.235193696
916	0.2351335501
917	0.2350842276
918	0.2350434416
919	0.2349997864
920	0.2349699711
921	0.2349268798
922	0.2348740004
923	0.2348274471
924	0.2347964736
925	0.2347578687
926	0.2347251841
927	0.2346981786
928	0.2346524099
929	0.2346205544
930	0.2345732804
931	0.2345281965
932	0.2344803578
933	0.2344332986
934	0.2343767861
935	0.2343306519
936	0.2342791672
